# data/reports/report-Feb-12-2015-17h03.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.18.log   | Saturate      | 20    | 1.1 ± 0.3   | 0.006s     | -
ScalObject-bkq.18.log   | Saturate+R    | 20    | 1.1 ± 0.3   | 0.0049s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.19.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.3325s    | -
ScalObject-bkq.19.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.6502s    | -
ScalObject-bkq.19.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.1554s    | -
ScalObject-bkq.19.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.685s     | -
ScalObject-bkq.19.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.158s     | -
ScalObject-bkq.19.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 1.114s     | -
ScalObject-bkq.19.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.1598s    | -
ScalObject-bkq.19.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1872s    | -
ScalObject-bkq.19.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0247s    | -
ScalObject-bkq.19.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0041s    | -
ScalObject-bkq.19.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0035s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.20.log   | Enumerate+C   | 11    | 1.4 ± 0.5   | 0.1502s    | √
ScalObject-bkq.20.log   | Counting(4)   | 11    | 1.4 ± 0.5   | 0.1014s    | √
ScalObject-bkq.20.log   | Counting(4)+R | 11    | 1.4 ± 0.5   | 0.0879s    | √
ScalObject-bkq.20.log   | Counting(2)   | 11    | 1.4 ± 0.5   | 0.1076s    | √
ScalObject-bkq.20.log   | Counting(2)+R | 11    | 1.4 ± 0.5   | 0.09s      | √
ScalObject-bkq.20.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.1486s    | -
ScalObject-bkq.20.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.3889s    | -
ScalObject-bkq.20.log   | Symbolic      | 11    | 1.4 ± 0.5   | 0.0415s    | √
ScalObject-bkq.20.log   | Symbolic+R    | 11    | 1.4 ± 0.5   | 0.0277s    | √
ScalObject-bkq.20.log   | Saturate      | 11    | 1.4 ± 0.5   | 0.0046s    | √
ScalObject-bkq.20.log   | Saturate+R    | 11    | 1.4 ± 0.5   | 0.0033s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.21.log   | Enumerate+C   | 20*   | 2.2 ± 0.9   | 10.0047s*  | -
ScalObject-bkq.21.log   | Counting(4)   | 20    | 2.2 ± 0.9   | 1.0352s    | -
ScalObject-bkq.21.log   | Counting(4)+R | 20    | 2.2 ± 0.9   | 0.7134s    | -
ScalObject-bkq.21.log   | Counting(2)   | 20    | 2.2 ± 0.9   | 1.3992s    | -
ScalObject-bkq.21.log   | Counting(2)+R | 20    | 2.2 ± 0.9   | 0.8652s    | -
ScalObject-bkq.21.log   | Counting(0)   | 20    | 2.2 ± 0.9   | 1.8281s    | -
ScalObject-bkq.21.log   | Counting(0)+R | 20    | 2.2 ± 0.9   | 1.1067s    | -
ScalObject-bkq.21.log   | Symbolic      | 20    | 2.2 ± 0.9   | 0.736s     | -
ScalObject-bkq.21.log   | Symbolic+R    | 20    | 2.2 ± 0.9   | 0.4908s    | -
ScalObject-bkq.21.log   | Saturate      | 20    | 2.2 ± 0.9   | 0.0066s    | -
ScalObject-bkq.21.log   | Saturate+R    | 20    | 2.2 ± 0.9   | 0.0049s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.22.log   | Enumerate+C   | 15    | 1.1 ± 0.4   | 0.2123s    | √
ScalObject-bkq.22.log   | Counting(4)   | 15    | 1.1 ± 0.4   | 0.1697s    | √
ScalObject-bkq.22.log   | Counting(4)+R | 15    | 1.1 ± 0.4   | 0.1199s    | √
ScalObject-bkq.22.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.7647s    | -
ScalObject-bkq.22.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.46s      | -
ScalObject-bkq.22.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.3333s    | -
ScalObject-bkq.22.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.5276s    | -
ScalObject-bkq.22.log   | Symbolic      | 15    | 1.1 ± 0.4   | 0.0617s    | √
ScalObject-bkq.22.log   | Symbolic+R    | 15    | 1.1 ± 0.4   | 0.0315s    | √
ScalObject-bkq.22.log   | Saturate      | 15    | 1.1 ± 0.4   | 0.0039s    | √
ScalObject-bkq.22.log   | Saturate+R    | 15    | 1.1 ± 0.4   | 0.0058s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.23.log   | Enumerate+C   | 20    | 2.5 ± 0.9   | 9.6826s    | -
