# data/report-Dec-01-2014-17h41.txt
Generating reports for examples/generated/small/**/*.log
------------------------------------------------------------------------------
               examples/generated/small/**/*.log (timeout 10s)                
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.14.log   | Saturate      | 20    | 1.5±0.5     | 0.0081s    | -
ScalObject-bkq.14.log   | Saturate+R    | 20    | 1.5±0.5     | 0.0082s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.15.log   | Enumerate+C   | 20    | 2.0±0.9     | 1.6182s    | -
ScalObject-bkq.15.log   | Counting(4)   | 20    | 2.0±0.9     | 0.8494s    | -
ScalObject-bkq.15.log   | Counting(4)+R | 20    | 2.0±0.9     | 0.4291s    | -
ScalObject-bkq.15.log   | Counting(2)   | 20    | 2.0±0.9     | 1.0057s    | -
ScalObject-bkq.15.log   | Counting(2)+R | 20    | 2.0±0.9     | 0.4337s    | -
ScalObject-bkq.15.log   | Counting(0)   | 20    | 2.0±0.9     | 1.0461s    | -
ScalObject-bkq.15.log   | Counting(0)+R | 20    | 2.0±0.9     | 0.4396s    | -
ScalObject-bkq.15.log   | Symbolic      | 20    | 2.0±0.9     | 0.4254s    | -
ScalObject-bkq.15.log   | Symbolic+R    | 20    | 2.0±0.9     | 0.2011s    | -
ScalObject-bkq.15.log   | Saturate      | 20    | 2.0±0.9     | 0.0097s    | -
ScalObject-bkq.15.log   | Saturate+R    | 20    | 2.0±0.9     | 0.0132s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.16.log   | Enumerate+C   | 20    | 1.3±0.5     | 0.6425s    | -
ScalObject-bkq.16.log   | Counting(4)   | 20    | 1.3±0.5     | 0.8081s    | -
ScalObject-bkq.16.log   | Counting(4)+R | 20    | 1.3±0.5     | 0.2506s    | -
ScalObject-bkq.16.log   | Counting(2)   | 20    | 1.3±0.5     | 1.0205s    | -
ScalObject-bkq.16.log   | Counting(2)+R | 20    | 1.3±0.5     | 0.2595s    | -
ScalObject-bkq.16.log   | Counting(0)   | 20    | 1.3±0.5     | 1.7646s    | -
ScalObject-bkq.16.log   | Counting(0)+R | 20    | 1.3±0.5     | 0.2627s    | -
ScalObject-bkq.16.log   | Symbolic      | 20    | 1.3±0.5     | 0.3588s    | -
ScalObject-bkq.16.log   | Symbolic+R    | 20    | 1.3±0.5     | 0.0838s    | -
ScalObject-bkq.16.log   | Saturate      | 20    | 1.3±0.5     | 0.0085s    | -
ScalObject-bkq.16.log   | Saturate+R    | 20    | 1.3±0.5     | 0.0077s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.17.log   | Enumerate+C   | 6     | 1.0±0.0     | 0.058s     | √
ScalObject-bkq.17.log   | Counting(4)   | 6     | 1.0±0.0     | 0.0594s    | √
ScalObject-bkq.17.log   | Counting(4)+R | 6     | 1.0±0.0     | 0.0591s    | √
ScalObject-bkq.17.log   | Counting(2)   | 6     | 1.0±0.0     | 0.0595s    | √
ScalObject-bkq.17.log   | Counting(2)+R | 6     | 1.0±0.0     | 0.0546s    | √
ScalObject-bkq.17.log   | Counting(0)   | 20    | 1.0±0.0     | 1.1508s    | -
ScalObject-bkq.17.log   | Counting(0)+R | 20    | 1.0±0.0     | 0.245s     | -
ScalObject-bkq.17.log   | Symbolic      | 6     | 1.0±0.0     | 0.0114s    | √
ScalObject-bkq.17.log   | Symbolic+R    | 6     | 1.0±0.0     | 0.0115s    | √
ScalObject-bkq.17.log   | Saturate      | 6     | 1.0±0.0     | 0.003s     | √
ScalObject-bkq.17.log   | Saturate+R    | 6     | 1.0±0.0     | 0.0029s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.18.log   | Enumerate+C   | 20    | 1.1±0.3     | 0.356s     | -
ScalObject-bkq.18.log   | Counting(4)   | 20    | 1.1±0.3     | 0.6197s    | -
ScalObject-bkq.18.log   | Counting(4)+R | 20    | 1.1±0.3     | 0.2079s    | -
ScalObject-bkq.18.log   | Counting(2)   | 20    | 1.1±0.3     | 1.021s     | -
ScalObject-bkq.18.log   | Counting(2)+R | 20    | 1.1±0.3     | 0.2273s    | -
ScalObject-bkq.18.log   | Counting(0)   | 20    | 1.1±0.3     | 1.7361s    | -
ScalObject-bkq.18.log   | Counting(0)+R | 20    | 1.1±0.3     | 0.2487s    | -
ScalObject-bkq.18.log   | Symbolic      | 20    | 1.1±0.3     | 0.2202s    | -
ScalObject-bkq.18.log   | Symbolic+R    | 20    | 1.1±0.3     | 0.0521s    | -
ScalObject-bkq.18.log   | Saturate      | 20    | 1.1±0.3     | 0.011s     | -
ScalObject-bkq.18.log   | Saturate+R    | 20    | 1.1±0.3     | 0.0086s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.19.log   | Enumerate+C   | 20    | 1.0±0.0     | 0.3323s    | -
ScalObject-bkq.19.log   | Counting(4)   | 20    | 1.0±0.0     | 0.6077s    | -
ScalObject-bkq.19.log   | Counting(4)+R | 20    | 1.0±0.0     | 0.1851s    | -
ScalObject-bkq.19.log   | Counting(2)   | 20    | 1.0±0.0     | 0.6982s    | -
ScalObject-bkq.19.log   | Counting(2)+R | 20    | 1.0±0.0     | 0.1803s    | -
ScalObject-bkq.19.log   | Counting(0)   | 20    | 1.0±0.0     | 1.1027s    | -
ScalObject-bkq.19.log   | Counting(0)+R | 20    | 1.0±0.0     | 0.1758s    | -
ScalObject-bkq.19.log   | Symbolic      | 20    | 1.0±0.0     | 0.1553s    | -
ScalObject-bkq.19.log   | Symbolic+R    | 20    | 1.0±0.0     | 0.0214s    | -
ScalObject-bkq.19.log   | Saturate      | 20    | 1.0±0.0     | 0.004s     | -
ScalObject-bkq.19.log   | Saturate+R    | 20    | 1.0±0.0     | 0.0043s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.20.log   | Enumerate+C   | 11    | 1.4±0.5     | 0.1724s    | √
ScalObject-bkq.20.log   | Counting(4)   | 11    | 1.4±0.5     | 0.1131s    | √
ScalObject-bkq.20.log   | Counting(4)+R | 11    | 1.4±0.5     | 0.103s     | √
ScalObject-bkq.20.log   | Counting(2)   | 11    | 1.4±0.5     | 0.1178s    | √
ScalObject-bkq.20.log   | Counting(2)+R | 11    | 1.4±0.5     | 0.1063s    | √
ScalObject-bkq.20.log   | Counting(0)   | 20    | 1.5±0.5     | 1.4675s    | -
ScalObject-bkq.20.log   | Counting(0)+R | 20    | 1.5±0.5     | 0.497s     | -
ScalObject-bkq.20.log   | Symbolic      | 11    | 1.4±0.5     | 0.0396s    | √
ScalObject-bkq.20.log   | Symbolic+R    | 11    | 1.4±0.5     | 0.0245s    | √
ScalObject-bkq.20.log   | Saturate      | 13    | 1.5±0.5     | 0.008s     | √
ScalObject-bkq.20.log   | Saturate+R    | 13    | 1.5±0.5     | 0.0076s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.21.log   | Enumerate+C   | 20    | 2.2±0.9     | 14.9938s   | -
ScalObject-bkq.21.log   | Counting(4)   | 20    | 2.2±0.9     | 1.3959s    | -
ScalObject-bkq.21.log   | Counting(4)+R | 20    | 2.2±0.9     | 0.8303s    | -
ScalObject-bkq.21.log   | Counting(2)   | 20    | 2.2±0.9     | 1.5522s    | -
ScalObject-bkq.21.log   | Counting(2)+R | 20    | 2.2±0.9     | 0.8357s    | -
ScalObject-bkq.21.log   | Counting(0)   | 20    | 2.2±0.9     | 2.0794s    | -
ScalObject-bkq.21.log   | Counting(0)+R | 20    | 2.2±0.9     | 0.8535s    | -
ScalObject-bkq.21.log   | Symbolic      | 20    | 2.2±0.9     | 0.6691s    | -
ScalObject-bkq.21.log   | Symbolic+R    | 20    | 2.2±0.9     | 0.4459s    | -
ScalObject-bkq.21.log   | Saturate      | 20    | 2.2±0.9     | 0.0111s    | -
ScalObject-bkq.21.log   | Saturate+R    | 20    | 2.2±0.9     | 0.0103s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.22.log   | Enumerate+C   | 15    | 1.1±0.4     | 0.2456s    | √
ScalObject-bkq.22.log   | Counting(4)   | 15    | 1.1±0.4     | 0.1847s    | √
ScalObject-bkq.22.log   | Counting(4)+R | 15    | 1.1±0.4     | 0.1502s    | √
ScalObject-bkq.22.log   | Counting(2)   | 20    | 1.3±0.5     | 0.9006s    | -
ScalObject-bkq.22.log   | Counting(2)+R | 20    | 1.3±0.5     | 0.3972s    | -
