history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-msq.8.log	atomic-queue	Symbolic	false	false	true	false	69	33	0	36	18.47826086956522	10.19314749007762	1	5	3.4782608695652173	1.0656218241584408	0	22	12.101449275362318	5.846429094997249	15900	113.858152
ScalObject-msq.8.log	atomic-queue	Symbolic	true	false	true	false	320	159	0	28	13.825	6.284827727243485	1	6	3.484375	1.1902449301427027	0	28	12.778125	6.347128512997162	15880	102.955992
ScalObject-msq.8.log	atomic-queue	Saturate	false	false	true	false	821	408	0	412	206.57369062119366	118.66074202201993	1	6	3.649208282582217	1.0791663366577018	0	216	111.92448233861145	60.13208345683482	12704	100.005753
ScalObject-msq.8.log	atomic-queue	Saturate	true	false	true	false	5800	2898	0	184	40.461724137931036	30.255438081420174	1	6	3.5212068965517243	1.0485203816869433	0	106	34.742413793103445	22.61396638059049	12236	100.011161
ScalObject-msq.9.log	atomic-queue	Enumerate	false	false	true	false	31	14	0	17	8.806451612903226	4.69339503869505	1	4	3.161290322580645	0.6375355777548625	0	15	7.838709677419355	4.3443202321617465	13020	100.021625
ScalObject-msq.9.log	atomic-queue	Bound(4)	false	false	true	false	57	27	0	30	15.210526315789474	8.239141863484116	1	4	2.9473684210526314	0.7176611972128373	0	22	11.649122807017545	5.550068300963818	13184	164.874252
ScalObject-msq.9.log	atomic-queue	Bound(4)	true	false	true	false	297	147	0	25	12.25925925925926	4.069097880065993	1	5	3.441077441077441	1.0220852678021997	0	22	11.043771043771043	3.9303183010288043	12608	111.629927
ScalObject-msq.9.log	atomic-queue	Symbolic	false	false	true	false	69	33	0	36	18.26086956521739	10.05960497106686	1	5	3.0434782608695654	0.7939992333804204	0	26	13.768115942028986	6.86882327351857	15920	106.718611
ScalObject-msq.9.log	atomic-queue	Symbolic	true	false	true	false	362	180	0	27	13.61049723756906	4.854126984591649	1	5	3.455801104972376	0.9730336627309683	0	22	12.204419889502763	4.409406002727421	15548	100.037089
ScalObject-msq.9.log	atomic-queue	Saturate	false	false	true	false	850	423	0	426	213.71529411764706	122.74644257618108	1	5	3.431764705882353	0.9212466287221382	0	219	114.43882352941176	62.27197573628716	12572	100.008738
ScalObject-msq.9.log	atomic-queue	Saturate	true	false	true	false	3643	1819	0	286	54.187482843810045	66.34121884012389	1	6	3.6096623661817184	0.9683259280252335	0	170	37.278891023881414	38.19356840376971	12188	100.013633
